"first_name","last_name","amount","case"
"Peter","Menard","7.99",NULL
"Peter","Menard","1.99","0.2587"
"Peter","Menard","7.99","1.0387"
"Peter","Menard","2.99","0.3887"
"Peter","Menard","7.99","1.0387"
"Peter","Menard","5.99","0.7787"
"Harold","Martino","5.99","0.7787"
"Harold","Martino","5.99","0.7787"
"Harold","Martino","2.99","0.3887"
"Douglas","Graf","4.99","0.6487"
"Douglas","Graf","6.99","0.9087"
"Douglas","Graf","0.99","0.1287"
"Douglas","Graf","0.99","0.1287"
"Douglas","Graf","6.99","0.9087"
"Douglas","Graf","8.99","1.1687"
"Douglas","Graf","0.99","0.1287"
"Henry","Billingsley","3.99",NULL
"Henry","Billingsley","4.99",NULL
"Henry","Billingsley","0.99","0.1287"
"Carl","Artis","0.99",NULL
"Carl","Artis","4.99",NULL
"Carl","Artis","0.99","0.1287"
"Carl","Artis","4.99","0.6487"
"Arthur","Simpkins","5.99","0.7787"
"Arthur","Simpkins","2.99","0.3887"
"Arthur","Simpkins","2.99","0.3887"
"Ryan","Salisbury","8.99","1.1687"
"Ryan","Salisbury","0.99","0.1287"
"Ryan","Salisbury","4.99","0.6487"
"Ryan","Salisbury","8.99","1.1687"
"Ryan","Salisbury","7.99","1.0387"
"Roger","Quintanilla","2.99","0.3887"
"Roger","Quintanilla","8.99","1.1687"
"Roger","Quintanilla","0.99","0.1287"
"Joe","Gilliland","2.99",NULL
"Joe","Gilliland","0.99",NULL
"Joe","Gilliland","6.99","0.9087"
"Joe","Gilliland","8.99","1.1687"
"Juan","Fraley","3.99","0.5187"
"Juan","Fraley","0.99","0.1287"
"Juan","Fraley","2.99","0.3887"
"Juan","Fraley","0.99","0.1287"
"Jack","Foust","5.99","0.7787"
"Jack","Foust","0.99","0.1287"
"Jack","Foust","2.99","0.3887"
"Albert","Crouse","0.99",NULL
"Albert","Crouse","4.99","0.6487"
"Albert","Crouse","4.99","0.6487"
"Albert","Crouse","4.99","0.6487"
"Albert","Crouse","4.99","0.6487"
"Jonathan","Scarborough","2.99",NULL
"Jonathan","Scarborough","7.99","1.0387"
"Jonathan","Scarborough","6.99","0.9087"
"Justin","Ngo","0.99",NULL
"Justin","Ngo","4.99","0.6487"
"Justin","Ngo","6.99","0.9087"
"Justin","Ngo","2.99","0.3887"
"Terry","Grissom","0.99",NULL
"Terry","Grissom","2.99","0.3887"
"Gerald","Fultz","0.99",NULL
"Gerald","Fultz","2.99","0.3887"
"Gerald","Fultz","4.99","0.6487"
"Keith","Rico","5.99",NULL
"Keith","Rico","1.99","0.2587"
"Keith","Rico","1.99","0.2587"
"Keith","Rico","6.99","0.9087"
"Samuel","Marlow","2.99",NULL
"Samuel","Marlow","0.99","0.1287"
"Samuel","Marlow","5.99","0.7787"
"Samuel","Marlow","2.99","0.3887"
"Samuel","Marlow","2.99","0.3887"
"Samuel","Marlow","2.99","0.3887"
"Willie","Markham","4.99",NULL
"Willie","Markham","1.99","0.2587"
"Willie","Markham","0.99","0.1287"
"Willie","Markham","4.99","0.6487"
"Ralph","Madrigal","0.99",NULL
"Ralph","Madrigal","6.99","0.9087"
"Ralph","Madrigal","3.99","0.5187"
"Ralph","Madrigal","6.99","0.9087"
"Lawrence","Lawton","4.99","0.6487"
"Lawrence","Lawton","1.99","0.2587"
"Lawrence","Lawton","2.99","0.3887"
"Lawrence","Lawton","2.99","0.3887"
"Nicholas","Barfield","2.99",NULL
"Nicholas","Barfield","2.99",NULL
"Nicholas","Barfield","2.99","0.3887"
"Nicholas","Barfield","2.99","0.3887"
"Nicholas","Barfield","2.99","0.3887"
"Roy","Whiting","4.99",NULL
"Roy","Whiting","4.99","0.6487"
"Roy","Whiting","4.99","0.6487"
"Roy","Whiting","4.99","0.6487"
"Roy","Whiting","2.99","0.3887"
"Benjamin","Varney","2.99","0.3887"
"Benjamin","Varney","2.99","0.3887"
"Benjamin","Varney","4.99","0.6487"
"Benjamin","Varney","4.99","0.6487"
"Benjamin","Varney","3.99","0.5187"
"Bruce","Schwarz","1.99",NULL
"Bruce","Schwarz","6.99","0.9087"
"Bruce","Schwarz","4.99","0.6487"
"Bruce","Schwarz","2.99","0.3887"
"Bruce","Schwarz","0.99","0.1287"
"Brandon","Huey","1.99",NULL
"Brandon","Huey","0.99","0.1287"
"Adam","Gooch","0.99","0.1287"
"Harry","Arce","0.99",NULL
"Harry","Arce","9.99",NULL
"Harry","Arce","4.99","0.6487"
"Harry","Arce","4.99","0.6487"
"Harry","Arce","4.99","0.6487"
"Harry","Arce","4.99","0.6487"
"Fred","Wheat","0.99",NULL
"Wayne","Truong","6.99",NULL
"Billy","Poulin","2.99",NULL
"Billy","Poulin","1.99",NULL
"Billy","Poulin","6.99","0.9087"
"Billy","Poulin","5.99","0.7787"
"Billy","Poulin","0.99","0.1287"
"Billy","Poulin","3.99","0.5187"
"Billy","Poulin","0.99","0.1287"
"Steve","Mackenzie","2.99","0.3887"
"Steve","Mackenzie","4.99","0.6487"
"Steve","Mackenzie","3.99","0.5187"
"Louis","Leone","6.99",NULL
"Louis","Leone","2.99","0.3887"
"Jeremy","Hurtado","1.99","0.2587"
"Jeremy","Hurtado","1.99","0.2587"
"Jeremy","Hurtado","4.99","0.6487"
"Jeremy","Hurtado","2.99","0.3887"
"Aaron","Selby","2.99",NULL
"Aaron","Selby","5.99",NULL
"Aaron","Selby","4.99","0.6487"
"Randy","Gaither","0.99",NULL
"Randy","Gaither","0.99","0.1287"
"Howard","Fortner","3.99","0.5187"
"Howard","Fortner","1.99","0.2587"
"Howard","Fortner","0.99","0.1287"
"Howard","Fortner","2.99","0.3887"
"Howard","Fortner","4.99","0.6487"
"Eugene","Culpepper","4.99","0.6487"
"Eugene","Culpepper","5.99","0.7787"
"Eugene","Culpepper","7.99","1.0387"
"Eugene","Culpepper","4.99","0.6487"
"Carlos","Coughlin","8.99",NULL
"Carlos","Coughlin","5.99","0.7787"
"Carlos","Coughlin","2.99","0.3887"
"Russell","Brinson","3.99","0.5187"
"Russell","Brinson","2.99","0.3887"
"Russell","Brinson","3.99","0.5187"
"Russell","Brinson","2.99","0.3887"
"Russell","Brinson","4.99","0.6487"
"Russell","Brinson","1.99","0.2587"
"Russell","Brinson","1.99","0.2587"
"Russell","Brinson","4.99","0.6487"
"Bobby","Boudreau","3.99",NULL
"Bobby","Boudreau","1.99","0.2587"
"Bobby","Boudreau","2.99","0.3887"
"Bobby","Boudreau","4.99","0.6487"
"Bobby","Boudreau","2.99","0.3887"
"Victor","Barkley","0.99","0.1287"
"Victor","Barkley","4.99","0.6487"
"Victor","Barkley","1.99","0.2587"
"Victor","Barkley","2.99","0.3887"
"Victor","Barkley","4.99","0.6487"
"Martin","Bales","7.99","1.0387"
"Martin","Bales","2.99","0.3887"
"Martin","Bales","2.99","0.3887"
"Martin","Bales","2.99","0.3887"
"Martin","Bales","7.99","1.0387"
"Martin","Bales","2.99","0.3887"
"Ernest","Stepp","0.99","0.1287"
"Ernest","Stepp","0.99","0.1287"
"Ernest","Stepp","7.99","1.0387"
"Ernest","Stepp","5.99","0.7787"
"Ernest","Stepp","3.99","0.5187"
"Ernest","Stepp","9.99","1.2987"
"Ernest","Stepp","4.99","0.6487"
"Phillip","Holm","2.99","0.3887"
"Phillip","Holm","0.99","0.1287"
"Phillip","Holm","0.99","0.1287"
"Todd","Tan","3.99","0.5187"
"Todd","Tan","2.99","0.3887"
"Todd","Tan","5.99","0.7787"
"Todd","Tan","0.99","0.1287"
"Todd","Tan","2.99","0.3887"
"Jesse","Schilling","0.99",NULL
"Jesse","Schilling","0.99",NULL
"Jesse","Schilling","0.99","0.1287"
"Jesse","Schilling","0.99","0.1287"
"Jesse","Schilling","5.99","0.7787"
"Jesse","Schilling","4.99","0.6487"
"Craig","Morrell","6.99",NULL
"Craig","Morrell","0.99","0.1287"
"Craig","Morrell","5.99","0.7787"
"Craig","Morrell","4.99","0.6487"
"Craig","Morrell","7.99","1.0387"
"Alan","Kahn","4.99","0.6487"
"Alan","Kahn","4.99","0.6487"
"Alan","Kahn","3.99","0.5187"
"Shawn","Heaton","5.99",NULL
"Shawn","Heaton","2.99","0.3887"
"Shawn","Heaton","2.99","0.3887"
"Shawn","Heaton","7.99","1.0387"
"Shawn","Heaton","5.99","0.7787"
"Clarence","Gamez","0.99",NULL
"Clarence","Gamez","0.99","0.1287"
"Clarence","Gamez","2.99","0.3887"
"Clarence","Gamez","2.99","0.3887"
"Clarence","Gamez","2.99","0.3887"
"Sean","Douglass","6.99",NULL
"Sean","Douglass","2.99","0.3887"
"Sean","Douglass","2.99","0.3887"
"Sean","Douglass","4.99","0.6487"
"Philip","Causey","6.99","0.9087"
"Philip","Causey","1.99","0.2587"
"Philip","Causey","2.99","0.3887"
"Philip","Causey","4.99","0.6487"
"Philip","Causey","2.99","0.3887"
"Chris","Brothers","4.99",NULL
"Johnny","Turpin","0.99",NULL
"Johnny","Turpin","0.99","0.1287"
"Johnny","Turpin","0.99","0.1287"
"Johnny","Turpin","4.99","0.6487"
"Johnny","Turpin","0.99","0.1287"
"Johnny","Turpin","6.99","0.9087"
"Earl","Shanks","1.99",NULL
"Earl","Shanks","4.99",NULL
"Earl","Shanks","6.99",NULL
"Jimmy","Schrader","5.99","0.7787"
"Jimmy","Schrader","1.99","0.2587"
"Antonio","Meek","2.99",NULL
"Antonio","Meek","6.99","0.9087"
"Antonio","Meek","9.99","1.2987"
"Danny","Isom","2.99","0.3887"
"Danny","Isom","5.99","0.7787"
"Bryan","Hardison","0.99",NULL
"Bryan","Hardison","3.99","0.5187"
"Bryan","Hardison","6.99","0.9087"
"Luis","Yanez","4.99",NULL
"Luis","Yanez","4.99","0.6487"
"Luis","Yanez","2.99","0.3887"
